OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
992,10/25/1995,37.25,-67.8,Atlantic Ocean,north atlantic ocean,Other,0.076832,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
12980,11/18/2020,42.090428,-27.467325,Atlantic Ocean,north atlantic ocean,Other,0.470024,pieces/m3,0.005-1,Medium,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
11898,7/9/2013,33.1602,-48.2675,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,5 Gyres Institute
9989,6/12/2016,38.8607,9.4305,Atlantic Ocean,mediterranean sea,Other,0.011,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
18894,12/22/2020,43.3334,-124.3727,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
17649,12/25/2019,32.8351,-79.9859,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
20554,1/26/2022,32.7762,-79.9254,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
20566,1/27/2022,32.7762,-79.9255,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
17059,11/20/2019,32.7695,-79.9334,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,1-2,Low,Hand picking,University of Texas Marine Science Institute
1668,10/25/1999,36.54,-64.19,Atlantic Ocean,north atlantic ocean,Other,0.032396,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
5661,9/1/2006,40.15,-70.12,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
5910,10/26/2007,21.22,-58.0,Atlantic Ocean,north atlantic ocean,Other,0.004324,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
4665,3/1/2001,20.42,-70.15,Atlantic Ocean,north atlantic ocean,Other,0.001964,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
3242,2/20/1994,23.25,-73.48,Atlantic Ocean,north atlantic ocean,Other,0.027776,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
5747,2/21/2007,22.91,-70.46,Atlantic Ocean,north atlantic ocean,Other,0.00576,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
8993,11/25/2014,21.6291,-23.7028,Atlantic Ocean,north atlantic ocean,Other,0.014,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
18731,11/1/2020,34.4166,-119.8323,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
